Fichier, Temps Naif (µs), Temps Welzl (µs)
test-1567.points, 111246, 22
test-1568.points, 102678, 22
test-1569.points, 101486, 27
test-157.points, 112204, 28
test-1570.points, 84180, 10
test-1571.points, 109457, 18
test-1572.points, 120800, 19
test-1573.points, 104269, 31
test-1574.points, 121287, 37
test-1575.points, 114483, 28
test-1576.points, 143561, 53
test-1577.points, 130597, 47
test-1578.points, 139679, 20
test-1579.points, 112330, 19
test-158.points, 129917, 46
test-1580.points, 114703, 16
test-1581.points, 104538, 12
test-1582.points, 95304, 19
test-1583.points, 116759, 16
test-1584.points, 101475, 30
test-1585.points, 113910, 27
test-1586.points, 116756, 38
test-1587.points, 104050, 18
test-1588.points, 93942, 24
test-1589.points, 137680, 21
test-159.points, 86092, 23
test-1590.points, 94987, 19
test-1591.points, 110290, 40
test-1592.points, 113045, 22
test-1593.points, 86905, 14
test-1594.points, 108474, 24
test-1595.points, 97586, 43
test-1596.points, 105643, 21
test-1597.points, 121067, 17
test-1598.points, 112765, 14
test-1599.points, 97918, 37
test-16.points, 115182, 25
test-160.points, 122753, 33
test-1600.points, 91287, 21
test-1601.points, 90914, 19
test-1602.points, 114268, 31
test-1603.points, 120164, 42
test-1604.points, 98108, 31
test-1605.points, 118730, 34
test-1606.points, 124806, 35
test-1607.points, 93769, 14
test-1608.points, 101140, 18
test-1609.points, 133957, 20
test-161.points, 106880, 10
test-1610.points, 111332, 13
test-1611.points, 102686, 53
test-1612.points, 119895, 24
test-1613.points, 106368, 31
test-1614.points, 116506, 22
test-1615.points, 119805, 37
test-1616.points, 97761, 11
test-1617.points, 94184, 42
test-1618.points, 114296, 22
test-1619.points, 118070, 25
test-162.points, 103246, 24
test-1620.points, 110304, 16
test-1621.points, 111428, 20
test-1622.points, 114091, 18
test-1623.points, 125178, 25
test-1624.points, 117585, 18
test-1625.points, 139823, 87
test-1626.points, 108663, 29
test-1627.points, 115122, 36
test-1628.points, 89688, 16
test-1629.points, 102830, 25
test-163.points, 91876, 35
test-1630.points, 97244, 21
test-1631.points, 121445, 45
test-1632.points, 119212, 38
test-1633.points, 118127, 25
test-1634.points, 113209, 23
test-1635.points, 89927, 18
test-1636.points, 101779, 33
test-1637.points, 107439, 32
test-1638.points, 85887, 16
test-1639.points, 121867, 29
test-164.points, 99387, 21
test-1640.points, 124129, 26
test-1641.points, 93127, 20
test-1642.points, 89226, 19
test-1643.points, 131064, 40
test-1644.points, 96110, 10
test-1645.points, 104116, 27
test-1646.points, 94383, 24
test-1647.points, 89595, 9
test-1648.points, 98023, 23
test-1649.points, 94397, 25
test-165.points, 124948, 14
test-1650.points, 86814, 16
test-1651.points, 110377, 30
test-1652.points, 99306, 15
test-1653.points, 104199, 27
test-1654.points, 147302, 31
test-1655.points, 116638, 16
test-1656.points, 119271, 15
test-1657.points, 98491, 32
test-1658.points, 102100, 25
test-1659.points, 107242, 17
test-166.points, 116835, 52
test-1660.points, 98005, 30
test-1661.points, 127811, 20
test-1662.points, 97698, 16
test-1663.points, 117959, 22
test-1664.points, 105608, 31
test-167.points, 118719, 29
test-168.points, 94094, 15
test-169.points, 118690, 26
test-17.points, 86661, 24
test-170.points, 117015, 45
test-171.points, 124196, 23
test-172.points, 84423, 9
test-173.points, 101386, 11
test-174.points, 99297, 24
test-175.points, 89639, 11
test-176.points, 105071, 49
test-177.points, 87736, 17
test-178.points, 95709, 26
test-179.points, 109960, 36
test-18.points, 122424, 31
test-180.points, 88151, 18
test-181.points, 110113, 31
test-182.points, 83027, 11
test-183.points, 87315, 12
test-184.points, 99880, 52
test-185.points, 99254, 19
test-186.points, 110877, 33
test-187.points, 108481, 35
test-188.points, 120663, 24
test-189.points, 102830, 36
test-19.points, 96225, 15
test-190.points, 115609, 21
test-191.points, 94187, 17
test-192.points, 106322, 23
test-193.points, 89913, 18
test-194.points, 99110, 23
test-195.points, 117963, 20
test-196.points, 95501, 38
test-197.points, 100725, 38
test-198.points, 105154, 28
test-199.points, 105117, 19
test-2.points, 106506, 42
test-20.points, 105614, 43
test-200.points, 136603, 28
test-201.points, 98086, 12
test-202.points, 101109, 15
